100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.10	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.30	70%	0.40	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.10	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.15	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.10	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.30	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.30	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.15	80%	0.30	70%	0.40	60%	0.45	50%	0.55	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.30	70%	0.40	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.30	70%	0.40	60%	0.50	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.10	80%	0.30	70%	0.40	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.15	80%	0.30	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.15	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.25	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.30	70%	0.40	60%	0.50	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.15	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.20	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.15	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.05	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.05	95%	0.20	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.20	80%	0.35	70%	0.45	60%	0.55	50%	0.60	
100%	0.00	95%	0.10	90%	0.30	80%	0.40	70%	0.45	60%	0.55	50%	0.60	
